SEGMENT_VALUE,DESCRIPTION
101,Botswana Retail Pvt
00015,Int Pizza
2020,ZEN LE
9999,Default
201,IL
300,Global SA de CV (Mexico)
310,CP_AS
550,Global GmbH (Germany)
5XX,EMEA
3121,ZZ01 InFusion Sales -US Napa
3231,ZZ01 InFusion San Carlos Chocolates
3888,ZZ01 InFusion USA Corporation
1021,Adult Intensive Care
1031,Endodontic
1184,CT
1202,Urology
2041,Speech and Language Therapy
2091,Home Health Care
3221,AAR Harvesting -US
3331,AAR Shipping -US
3111,Avula Marketing - US Napa
3231,Avula San Carlos Chocolates
00000,DEFAULT
113,Insulation
3888,NW Manufacturing Limited
110101,AGRA
110105,CHENNAI
99999,Default
300,India
102,Botswana Distribution Pvt
501,UK Retail Pvt
19,19
00000,Future Use
202,MI
401,CA
000,Default
000,Not Applicable
3221,ZZ01 InFusion Harvesting -US
3241,ZZ01 InFusion Stockton Citrus
3311,ZZ01 InFusion Plant Operations -US
3321,ZZ01 InFusion Packaging -US
4888,ZZ01 InFusion Stocking -Canada Ltd.
9999,Common for Inter - Entity
000,Default 
00014,Int Baseball
1086,Adult Oncology
1087,Adult Pulmonology
1141,Otolaryngology - Head & Neck Surgery
1156,Pediatric ENT
1187,General 
1193,Trauma
2011,Nutrition Services
2062,In-Patient Pharmacy
2072,General Nursing
10002,Project 00002
10003,Project 00003
10006,Project 00006
3311,AAR Plant Operations -US
3321,AAR Packaging -US
3251,Avula Cupertino Cherries
10002,US CO2
10006,UK CO2
10001,IT Project
0000,Default
Google,Google
Twitter,Twitter
3101,XYZ Pvt. Ltd. India Legal Entity
1001,AMI Branch
1002,ABC Branch Pune
402,WA
700,Global India Private Limited
800,Global Australia Pty Limited
3211,ZZ01 InFusion Growing -US
3999,ZZ01 InFusion USA HQ
000,Default 
1022,Pediatric Intensive Care
1032,Orthodontic
1034,Neonatal
1084,Adult Infectious Disease
1103,Clinical Psychology
1131,Orthotics - Prosthetics Services
1153,Pediatric Cardiology
1159,Pediatric Intensive Care​
1160,Pediatric Nephrology​​
1161,Pediatric Pulmonary
1163,Pediatric Hematology/Oncology
1171,Radiation Therapy
1183,Mammography
1197,Colorectal Surgery
2022,Occupational Therapy
2071,Critical Care Nursing
2122,Cytology
2125,General Pathology
10005,Project 00005
10013,Project 00013
3111,AAR Marketing - US Napa
3888,AAR USA Corporation
3321,Avula Packaging -US
4999,Avula Shipping -Canada Ltd.
10007,UK CO3
4999,NW Americas Distribution Limited
110104,DELHI
999999,Default
99999,Default
00002,India
000,None
100,North America
400,Argentina
00,Common
11,11
0000,Default
11,Test Company 1
203,MS
303,NC
100,Global Corporation
110,Global Services Inc
720,Global China Co Ltd
3331,ZZ01 InFusion Shipping -US
1061,Family Medicine - Polyclinics
1082,Adult Endocrine
1089,Adult Cardiology
1090,Adult Oncology
1112,I V F 
1151,Pediatric Neurology
1155,Pediatric Endocrine
1185,Fluoroscopy
1186,Nuclear medicine
1194,Cardiac Surgery
1198,Pediatric Surgery ​
1701,Forensic Medicine
2121,Clinical Biochemistry​​
10004,Project 00004
10007,Project 00007
3231,AAR San Carlos Chocolates
4888,AAR Stocking -Canada Ltd.
10005,UK CO1
10009,CA CO1
000,Default Reinsurance
10001,IT Project
